Name,Link to the dish,Ingredients,Making Steps,Ingredients_without_quantity
잉어찜,http://www.lampcook.com/food/food_fusion_view.php?idx_no=41,"콩나물(200g), 미나리(50g), 계란(1개), [양념장] 고춧가루(3큰술), 고추장(3큰술), 다진마늘(1과1/2큰술), 된장(1과1/2큰술), 물엿(1/2큰술), 생강(약간), 후춧가루(약간), 참기름(약간)","1. 비늘과 내장을 제거한 잉어를 마른 면보로 닦아낸 후 사선으로 칼집을 내어 부서지지 않게 기름에 살짝 튀긴 다음 찜솥에 구멍 낸 은박지를 깔고 중불에서 30∼40분 정도 찐다. 2. 콩나물은 머리를 떼고 살짝 삶아 씻어 건진다. 3. 고명 (미나리, 계란노른자지단, 홍고추)은 6∼7cm 길이로 준비한다. 4. 찐 잉어 위에 분량의 재료로 만든 양념장을 듬뿍 발라 10분 정도 찐 다음 가장자리에 콩나물을 놓고 준비한 고명을 얹는다.","콩나물, 미나리, 계란, 고춧가루, 고추장, 다진마늘, 된장, 물엿, 생강, 후춧가루, 참기름"
간장떡볶이,http://www.lampcook.com/food/food_fusion_view.php?idx_no=249,"양파(1/2개), 당근(1/2개), 청피망(1/2개), 표고버섯(3장), 간장(2큰술), 설탕(1/2큰술), 참기름(1/2작은술), 후춧가루(약간), [쇠고기양념] 간장(3큰술), 설탕(1과1/2큰술), 참기름(1작은술), 후춧가루(약간), 다진마늘(1/2작은술)","1. 분량의 양념 재료를 섞어 쇠고기 양념장과 떡볶이 양념장을 각각 만들어 둔다. 2. 떡은 뜨거운 물에 10분 정도 불린 후 쇠고기 양념장을 약간 덜어 밑간을 해 놓는다. 3. 양파, 당근, 피망, 표고버섯은 채썰고 쇠고기와 표고버섯은 쇠고기 양념장에 버무려 둔다. 4. 프라이팬에 기름을 두르고 채썬 쇠고기와 표고버섯, 떡을 넣고 볶아준다. 5. 쇠고기가 익으면 야채를 넣고 ①의 떡볶이를 넣고 볶아준다. 6. 참기름을 넣고 마무리해서 접시에 담아 낸다.","양파, 당근, 청피망, 표고버섯, 간장, 설탕, 참기름, 후춧가루, 간장, 설탕, 참기름, 후춧가루, 다진마늘"
부추잡채,http://www.lampcook.com/food/food_fusion_view.php?idx_no=137,"양파(1개), 청고추(1개), 홍고추(1개), 다진마늘(1큰술), 다진생강(1작은술), 청정원굴소스(1과1/2큰술), 소금(약간), 참기름(약간), 깨소금(약간), 식용유(약간)","1. 양파, 홍고추, 청고추는 얇게 채를 썰어 준비한다. 2. 돼지고기는 얇게 채를 썰어 마늘, 생강, 굴소스, 깨소금을 넣고 양념해둔다. 3. 부추는 4cm 길이로 썰어 준비한다. 4. 재료가 준비되면 프라이팬에 기름을 두르고 양념한 돼지고기를 볶는다. 5. 돼지고기를 볶다가 양파, 고추를 넣고 소금을 뿌려 간을 한다. 6. 채소가 어느 정도 숨이 죽으면 준비한 부추를 넣어 살짝 볶은 후 참기름 한방울을 넣어 마무리한다.","양파, 청고추, 홍고추, 다진마늘, 다진생강, 청정원굴소스, 소금, 참기름, 깨소금, 식용유"
흑임자삼계죽,http://www.lampcook.com/food/food_fusion_view.php?idx_no=34,"볶은 흑임자(검은깨)(1/2컵(55g)), 땅콩(20알), 인삼(1뿌리), 참쌀(1컵(170g)), 대파(1대), 양파(1/4개), 대추(3개), 통후추(5알), 잣(3~5알), 소금(약간)","1. 닭은 깨끗이 씻어 냄비에 넣고 물 2L와 인삼, 대파, 양파, 대추, 통후추를 함께 넣어 푹 삶는다. 삶아진 닭은 건져내어 살만 발라내고 손으로 잘게 뜯는다. 육수는 체에 거르고 육수에 쓰인 인삼은 굵직하게 다지고 대추는 채썬다. 2. 찹쌀은 씻어 1시간 이상 불려두었다가 체에 밭친 뒤 물 2컵과 함께 믹서에 곱게 간다. 땅콩은 껍질을 벗기고 검은깨, 물 1컵과 함께 믹서에 곱게 간 후 체에 거른다. 체에 남아있는 껍질에 물 1컵을 더 넣고 거른다. 3. 냄비에 먼저 갈아둔 찹쌀, 잘게 뜯은 닭, 다진 인삼, 닭육수 3컵을 넣고 바닥이 눌어붙지 않도록 나무주걱으로 바닥을 저으며 끓인다. 4. 찹쌀이 뭉근히 퍼지면 검은깨와 땅콩을 거른 물, 채썬 대추를 넣고 물 1컵으로 농도를 조절한 후 소금으로 간한다. 잣은 고깔을 제거하여 고명으로 올려낸다.","볶은 흑임자, 땅콩, 인삼, 참쌀, 대파, 양파, 대추, 통후추, 잣, 소금"
찬밥맛탕,http://www.lampcook.com/food/food_fusion_view.php?idx_no=352,"계란(1/2개), 녹말가루(6큰술), 식용유(3컵), 소금(1/2작은술), 물(1큰술), 설탕(1/2컵)","1. 옥수수는 물기를 뺀다. 2. 찬밥에 옥수수, 소금, 계란을 넣고 잘 섞은 후 녹말가루를 넣는다. 3. 지름 2㎝ 정도로 완자를 빚어(사진1) 170℃의 식용유에서 노릇노릇하게 튀겨 낸다. 4. 식용유 2큰술에 설탕 1/2컵을 넣고 물을 1큰술 정도 넣어 설탕이 녹을 때까지 끓여 시럽을 만든다. 5. ④의 시럽에 튀겨 놓은 맛탕을 버무려 낸다.","계란, 녹말가루, 식용유, 소금, 물, 설탕"
시금치나물,http://www.lampcook.com/food/food_fusion_view.php?idx_no=83,"대파(1/2뿌리), 홍고추(1개), 물(2컵), 소금(약간), 멸치액젓(2작은술), 통깨(약간), 참기름(약간)","1. 시금치를 끓는 물에 소금을 넣고 살짝 데친다. 2. 데친 시금치는 찬물에 헹구어 물기를 꼭 짜놓는다. 3. 대파는 흰부분만 4cm 길이로 채썰고, 홍고추도 같은 길이로 곱게 채썬다. 4. 멸치액젓, 대파채, 홍고추, 통깨, 참기름을 넣어 조물조물 무쳐 소금으로 간을 맞춘다.","대파, 홍고추, 물, 소금, 멸치액젓, 통깨, 참기름"
오곡주먹밥,http://www.lampcook.com/food/food_fusion_view.php?idx_no=178,"팥(20g), 수수(30g), 쇠고기(20g), 김(1장), 미나리(2줄기), 조(30g), 콩(30g), 간장(약간), 참기름(약간), 후춧가루(약간), 깨소금(약간)","1. 찹쌀, 조, 수수, 콩, 쌀은 30분 정도 물에 불려놓는다. 2. 불려놓은 팥은 끓는 물에 삶아 1/2정도 익힌다. 3. ①과 ②을 섞어 팥 삶은 물을 부어 밥을 짓는다. 4. 다진 쇠고기에 분량의 양념을 하여 프라이팬에 볶아낸다. 5. 오곡밥이 다 되면 한김 나가게 식혀준다. 6. 오곡밥 70g 정도를 쥐고 안에 ④의 볶아놓은 쇠고기를 조금 넣어 모양을 동그랗게 잡아준다.","팥, 수수, 쇠고기, 김, 미나리, 조, 콩, 간장, 참기름, 후춧가루, 깨소금"
보쌈김치,http://www.lampcook.com/food/food_fusion_view.php?idx_no=32,"소금(1큰술), 새우젓(1/2컵), 고춧가루(1컵), 마늘(6쪽), 생강(1톨)","1. 절인배추는 물기를 뺀 후 겉잎은 6~7장정도 보자기용으로 떼어두고, 속 부분은 3×3×0.3㎝로 썬다. 무와 배도 배추와 같은 크기로 썬다. 갓, 미나리, 실파는 2.5㎝길이로 썬다. 2. 밤은 동글납작하게 편으로 썰고, 대추는 곱게 채 썰고, 잣은 고깔을 뗀다. 굴은 소금물에 담가 씻어 물기를 빼고, 낙지다리는 소금으로 문질러 씻어 3㎝길이로 썬다. 마늘 2쪽과 생강 1/2톨은 채 썰고 나머지는 다져서 분량의 재료를 넣고 김치양념을 만든다. 3. 큰 볼에 배추, 무, 김치양념을 먼저 넣고 버무린 후 갓, 미나리, 실파, 배, 굴, 낙지를 고루 섞어 김칫소를 만든다. 4. 넓은 그릇에 절인 배춧잎을 깔고 버무린 김칫소를 소복하게 채운다. 대추채, 잣을 고명으로 얹고 펼쳐진 배춧잎 보자기로 한 장씩 차례로 덮어 싸고 2~3일 후 삼삼한 소금물을 보쌈김치가 절반 정도 잠기도록 붓는다.","소금, 새우젓, 고춧가루, 마늘, 생강"
두부양념조림,http://www.lampcook.com/food/food_fusion_view.php?idx_no=408,"홍고추(약간), 통깨(약간), 간장(1과1/2큰술), 설탕(1/2큰술), 물엿(1/2큰술), 후춧가루(약간), 참기름(약간), 실고추(약간)","1. 두부는 가로 2cm, 세로 3cm, 두께 0.5cm로 썰어 소금을 뿌려 두었다가 물기를 없앤다. 2. 양념재료를 섞어 양념장을 만든다. 3. 식용유를 두른 프라이팬에 두부를 앞뒤로 노릇노릇하게 부쳐낸다. 4. 양념장을 걸쭉하게 졸여서 지진 두부에 바른다. 5. 다져놓은 홍고추와 통깨를 각각 얹는다.","홍고추, 통깨, 간장, 설탕, 물엿, 후춧가루, 참기름, 실고추"
충무김밥,http://www.lampcook.com/food/food_fusion_view.php?idx_no=206,"설탕(2큰술), 식초(4큰술), 까나리액젓(1큰술), 참기름(약간), 깨소금(약간), 다진파(약간), 다진마늘(약간)","1. 오징어는 껍질과 먹통을 제거한 후 5cm 정도의 길이로 채썰어 끓는물에 살짝 데쳐 찬물에 담가 식힌다. 2. 오징어에 고춧가루 1큰술, 설탕 1/2큰술, 식초 1큰술, 다진 마늘. 다진 파, 참기름, 깨소금을 넣어 오물조물 무쳐둔다. 3. 무도 크지 않게 썰어 식초물에 잠시 담가둔다. 4. 무가 어느 정도 삭히면 물기를 꼭 짠다. 5. 설탕 1큰술, 식초 2큰술, 고춧가루 1과 1/2큰술, 액젓 1큰술, 다진 마늘, 다진 파 등의 양념장을 만들어 ④의 무를 간한 후 냉장고에 보관해둔다. 6. 김은 반 잘라서 밥을 얇게 편 다음 돌돌 말아서 3등분한다.","설탕, 식초, 까나리액젓, 참기름, 깨소금, 다진파, 다진마늘"
닭갈비,http://www.lampcook.com/food/food_fusion_view.php?idx_no=241,"고구마(1/2개), 양배추(1/4개), 양파(1/2개), 흰떡(적당량), 깻잎(5~6장), 고추장(2큰술), 고춧가루(1큰술), 설탕(2큰술), 간장(2큰술), 깨소금(1큰술), 참기름(약간)",1. 닭은 뼈가 없는 안심살 혹은 가슴살로 준비하여 먹기 좋은 크기로 썰어 놓는다. 2. 분량의 양념재료를 섞어서 닭을 재워 놓는다. 3. 양배추는 단단한 심을 제거하고 한 입 크기로 썰고 고구마도 얄팍하게 저미고 양파는 굵게 채썬다. 4. 두꺼운 철판이나 넓은 프라이팬에 기름을 두른 후 각종 채소와 양념에 재운 닭을 넣고 볶아낸다. 5. 닭이 거의 익으면 마지막으로 깻잎을 넣고 볶아낸 후 담아낸다.,"고구마, 양배추, 양파, 흰떡, 깻잎, 고추장, 고춧가루, 설탕, 간장, 깨소금, 참기름"
오징어풋마늘산적,http://www.lampcook.com/food/food_fusion_view.php?idx_no=258,"밀가루(1/2컵), 물(1/2컵), 꼬치(8개), 간장(2큰술), 다진파(2작은술), 다진마늘(1작은술), 참기름(2작은술), 깨소금(2작은술), 생강즙(1/2작은술)","1. 풋마늘은 껍질을 벗겨 깨끗이 씻은 후 길이 10cm 정도로 썰어 놓는다. 2. 갑오징어는 뼈와 먹물을 빼고 껍질을 벗긴 후 깨끗이 씻는다. 갑오징어에 칼집을 약간 넣고 넓이 2cm, 길이는 풋마늘보다 약간 길게 잘라준다. 3. 오징어와 풋마늘을 섞어 꼬지에 꿰어 밀가루를 묻힌다. 밀가루와 물을 1:1의 비율로 넣어 반죽을 해놓는다. 4. 3번의 꼬지에 반죽을 발라가며 구운 다음 양념장을 끼얹어 낸다.","밀가루, 물, 꼬치, 간장, 다진파, 다진마늘, 참기름, 깨소금, 생강즙"
근대된장국,http://www.lampcook.com/food/food_fusion_view.php?idx_no=94,"쇠고기(30g), 멸치(한줌), 다진마늘(1큰술), 대파(1/4뿌리), 고춧가루(1작은술), 된장(1작은술), 고추장(1/2큰술)","1. 근대는 물로 깨끗이 씻어 적당한 크기로 자른다. 2. 쇠고기는 가늘게 채썰어 된장, 후춧가루에 버무린다. 3. 냄비에 멸치와 물을 넣고 끓기 시작하면 불을 줄이고 15분 정도 더 끓여 멸치를 건져내고 육수를 준비한다. 4. 다른 냄비에 ②의 쇠고기를 넣고 볶다가 육수를 넣고 끓으면 된장, 고추장, 고춧가루를 넣는다. 5. 국이 끓으면 근대를 넣고 다진 마늘, 어슷썬 파를 넣고 소금으로 간을 한다.","쇠고기, 멸치, 다진마늘, 대파, 고춧가루, 된장, 고추장"
계란찜,http://www.lampcook.com/food/food_fusion_view.php?idx_no=201,"시금치(10g), 당근(1/4개), 옥수수통조림(2큰술), 다진파(1큰술), 소금(약간), 후춧가루(약간), 설탕(1/4작은술), 물(1/2컵), 청정원맛선생(약간)","1. 옥수수통조림은 물기를 빼둔다. 2. 당근, 옥수수통조림은 잘게 다져놓는다. 3. 시금치는 소금을 넣고 살짝 데쳐서 물기를 제거한 후 잘게 다져놓는다. 4. 큰 볼에 계란, 당근, 옥수수, 다진 파를 넣고 소금, 설탕, 후춧가루, 새우젓으로 간하여 분량의 물을 넣고 거품기로 잘 풀어둔다. 5. 깊은 냄비에 ④를 넣고 끓는 물에서 중탕하여 중불로 15분 정도 쪄낸다.","시금치, 당근, 옥수수통조림, 다진파, 소금, 후춧가루, 설탕, 물, 청정원맛선생"
불고기찹쌀구이,http://www.lampcook.com/food/food_fusion_view.php?idx_no=208,"기름(1/4컵), 간장(2큰술), 후춧가루(약간), 참기름(약간)","1. 쇠고기를 얇게 저민 불고기 감으로 준비하여 다진 파, 마늘, 깨소금, 후춧가루, 설탕, 참기름, 간장을 넣고 양념하여 1시간 정도 재운다. 2. 넓은 접시에 찹쌀가루를 펴고 밑간한 쇠고기의 앞 뒤를 고루 묻힌다. 3. 프라에팬에 기름을 넉넉히 두르고 찹쌀가루를 묻힌 쇠고기를 지져낸다. 4. 겨자, 식초, 설탕을 각각 2큰술씩 넣어 양념장을 만든다.","기름, 간장, 후춧가루, 참기름"
무생채,http://www.lampcook.com/food/food_fusion_view.php?idx_no=194,"다진파(1작은술), 다진마늘(1/2작은술), 고춧가루(1작은술), 식초(1과 1/2큰술), 설탕(1과 2/3큰술), 소금(약간), 참기름(약간), 깨소금(약간)","1. 무는 5cm 길이로 곱게 채를 썬다. 2. 다진마늘, 다진파를 비롯한 분량의 양념 재료를 넣고 양념장을 만든다. 3. 양념장이 만들어지면 무를 넣고 무친다. 4. 그릇에 담아낼때 깨소금을 약간 뿌려서 낸다.","다진파, 다진마늘, 고춧가루, 식초, 설탕, 소금, 참기름, 깨소금"
죽순회와미나리강회,http://www.lampcook.com/food/food_fusion_view.php?idx_no=84,"계란(1개), 홍고추(1개), 쌀뜨물(4컵), [초고추장] 고추장(1큰술), 설탕(1작은술), 식초(2작은술)",1. 죽순은 껍질 벗긴 후 쌀뜨물이나 밀가루 푼 물에 10분정도 데쳐 죽순의 아린맛을 제거한다. 2. 죽순은 빗살무늬로 얇게 썰어서 물기를 제거한다. 3. 미나리는 끓는 물에 소금을 넣고 살짝 데친 후 물기를 제거한다. 4. 계란은 황백으로 나눈 후 각각의 지단을 부치고 5cm x 0.5mm 폭으로 얇게 채썬다. 홍고추도 황백지단과 같은 크기로 채썰어준다. 5. 채썬 황백지단을 4~5줄기 정도 적당히 집고 홍고추는 한 두개 정도만 끼워넣어 미나리줄기로 돌돌 만 후 미나리 끝부분을 속으로 집어넣어 마무리해준다. 6. 분량의 재료로 초고추장을 만든다.,"계란, 홍고추, 쌀뜨물, 고추장, 설탕, 식초"
해물순두부찌개,http://www.lampcook.com/food/food_fusion_view.php?idx_no=51,"계란(1개), 다시마(1장), 멸치(한줌), 양파(1/2개), 청정원어장(2큰술), 고춧가루(1~2큰술), 깨소금(약간), 참기름(약간)","1. 뚝배기에 2cm x 2cm로 썬 양파, 다시마, 멸치를 넣어 약불에서 끓이다가 끓기 시작하면 다시마와 멸치를 건져낸다. 2. 국물이 끓으면 해감 시킨 바지락과 씻은 미더덕, 잔새우를 넣어 바지락의 입이 벌어지면 순두부와 고춧가루를 넣어준다. 3. 새우젓국으로 간을 맞추고 계란과 약간의 참기름, 깨소금을 넣어 불에서 내린다.","계란, 다시마, 멸치, 양파, 청정원어장, 고춧가루, 깨소금, 참기름"
호박양파국,http://www.lampcook.com/food/food_fusion_view.php?idx_no=197,"대파(5g), 홍고추(1/2개), 된장(한큰술), 국멸치(5개), 소금(약간)","1. 호박은 0.5cm 두께로 반달썰기한다. 2. 양파도 같은 굵기로 채썰어 둔다. 3. 두부는 크지않게 네모지게 썰어둔다. 4. 대파, 홍고추를 어슷하게 썰어둔다. 5. 기름을 두르지 않고 볶은 국멸치를 한소끔 끓인 물에 된장 한 큰술을 덩어리가 지지 않도록 잘 풀어준다. 6. ⑤가 끓기 시작하면 호박, 양파, 두부를 차례대로 넣어준다.","대파, 홍고추, 된장, 국멸치, 소금"
고등어된장조림,http://www.lampcook.com/food/food_fusion_view.php?idx_no=186,"무(1/2개), 대파(2뿌리), 다시마국물(7컵), 설탕(3큰술), 술, 간장(3큰술), 미림(6큰술), 된장(50g)","1. 신선한 고등어를 적당하게 잘라 손질한다. 2. 무를 생선 크기만하게 자른 후 한 번 삶아낸다. 3. 다시마 물을 우려내어 준비한 무와 고등어를 넣고 조린다. 4. 미림 6큰술, 설탕 3큰술, 된장 50g, 술 3/4컵, 간장 3큰술로 양념장을 만들어 ③에 넣는다. 5. 중불에서 2시간정도 조린다. 6. 파를 일정하게 채썰어 조려낸 고등어 위에 얹는다.","무, 대파, 다시마국물, 설탕, 술, 간장, 미림, 된장"
단호박 고등어조림,http://www.lampcook.com/food/food_fusion_view.php?idx_no=8,"고추장(1T), 된장(1T), 간장(1T), 고춧가루(2T), 들기름(1T), 설탕(1/2T), 다진마늘(2T)","1. 간장, 다진마늘, 고춧가루, 설탕, 들기름을 잘 섞어 양념장을 만든다. 2. 냄비에 쌀뜨물은 붓고  육수재료와 무를 넣고 끓여준다. 3. 육수가 끓으면 고추장과 된장으로 밑간을 한다. 4. 육수에 손질한 고등어를 넣어 끓여준다. 5. 고등어가 살짝 익으면 단고구마와 양파를 넣어준다. 6. 냄비에 준비한 양념장을 넣어 고등어가 잘 익을 때 까지 끓여준다. 7. 홍고추와 청양고추를 마지막에 넣어 한 번 더 끓여준다.","고추장, 된장, 간장, 고춧가루, 들기름, 설탕, 다진마늘"
김치적,http://www.lampcook.com/food/food_fusion_view.php?idx_no=426,"밀가루(1/2컵), 계란(3개), 식용유(3큰술), 참기름(약간), 소금(약간)","1. 김치는 소를 털어내고 줄기만 길이 8cm, 너비 2cm로 썰어 참기름을 고루 묻힌다. 2. 쇠고기는 도톰하게 포를 떠 잔칼질하여 김치보다 약간 길게 썬다. 3. 표고버섯은 1cm 폭으로 썰고 도라지는 삶아서 반으로 갈라 참기름과 소금으로 무친다. 4. 준비된 재료를 꼬치에 꽂아 밀가루를 묻힌 후 계란물을 묻혀 기름에 지진다.","밀가루, 계란, 식용유, 참기름, 소금"
콩나물비빔밥,http://www.lampcook.com/food/food_fusion_view.php?idx_no=200,"당근(15g), 소금(1큰술)","1. 쌀, 보리등은 깨끗이 씻어 고슬고슬하게 밥을 짓는다. 2. 당근, 오이는 5cm 길이로 채썰어서 굵은 소금 한 숟가락에 절여 물기를 꼭 짜서 기름에 볶아낸다. 3. 콩나물은 꼬리를 떼고 물에 살짝 데쳐낸다. 4. 다진쇠 고기는 분량의 양념장 재료를 넣고 양념하여 기름에 볶아낸다. 5. 분량의 밥 위에 데친 콩나물, 볶은 오이, 볶은 당근, 볶은 쇠고기를 보기좋게 담는다. 6. 간장, 참기름, 깨소금, 후춧가루, 다진 파, 마늘 등을 섞어 양념장을 만든다.","당근, 소금"
