Name,Ingredients,link to dish,Making steps
Чебуреки по-узбекски,"['мука пшеничная', 'молоко кислое', 'соль', 'мякоть баранья', 'сало курдючное', 'лук репчатый', 'вода', 'зелень', 'соль', 'перец']",/recipes/recipe.php?rid=38873,"Баранину и лук мелко порубить, тщательно перемешать, заправить солью и перцем. Из крутого пресного теста раскатать лепешки, на середину которых положить фарш и кусочек курдючного сала края лепешек защипать, придавая изделиям круглую форму. Чебуреки обжаривать в растительном масле и подавать, залив мясным бульоном, посыпав перцем и зеленью."
Баранина с черносливом по-узбекски,"['масло сливочное', 'соль', 'корица', 'сахар', 'перец', 'мука', 'лук', 'баранина', 'чернослив']",/recipes/recipe.php?rid=4263,"Мясо нарезают узкими полосками 1,5 см, лук мелко рубят и слегка обжаривают. Затем добавляют к нему мясо и обжаривают. Посыпают мукой, приправляют специями, хорошо перемешивают, заливают горячей водой так, чтобы она покрыла мясо и ставят тушить на слабом огне, под крышкой. Под конец готовки добавляют вымоченный в течение 12 часов чернослив и сахар. Подают с рассыпчатым рисом."
Плов по Фергански праздничный,"['рис', 'баранина', 'лук репчатый', 'морковь', 'масло растительное', 'барбарис', 'смесь', 'зира']",/recipes/recipe.php?rid=91692,"- Ставим казан на костер разогреваем, добавляем всё масло, разогреваем. — Добавляем весь лук предварительно почищенный и порезанный кольцами и жарим, тщательно помешивая, когда лук станет такого цвета, - Добавляем мясо, помешиваем и жарим пока мясо не покроется золотистой корочкой, - Добавляем морковку предварительно нарезав соломкой, перемешиваем и обжариваем до корочки, - Затем полученную массу заливаем двумя литрами воды 2 литра перемешиваем и доводим до кипения, затем засыпаем приправами, кстати они выглядят так, где черные ягодки — барбарис, коричневая смесь — смесь для плова, и продолговатые ягодки — зира, учтите, что соль нужно добавлять по вкусу, главное, что бы получившаяся смесь была слегка подсоленной, — Вода должна испариться , - Засыпаем рис его предварительно нужно промыть большим количеством воды и заливаем водой я обычно проверяю воду следующим образом, она должна покрыть рис на 2 пальца, жир должен всплыть и выглядеть так, - Вода должна медленно уходить, а рис появляться наружу, - Когда вода уйдёт рис нужно собрать горкой и проделать дырочки прямо до дна казана, - Вы увидите тот момент, когда рис впитает всю воду — готово, главное теперь перемешать ложкой, так что бы мясо со дна равномерно смешалось с рисом"
"Картофель, фаршированный сухарями, сыром и яйцами","['картофель', 'сухари панировочные', 'джем сливовый', 'сыр', 'яйца', 'укроп', 'зелень петрушки', 'сливки', 'молоко', 'мука']",/recipes/recipe.php?rid=765,"Слегка отварить в подсоленном кипятке 24 крупные картофелины, очистить, срезать верхушки. Вынуть мякоть настолько, чтобы дно и стенки картофеля могли удержать фарш. Подрумянить в масле 100 г просеянных сухарей, прибавить 2 столовые ложки тертого сыра, 2 рубленых яйца, столовую ложку рубленого укропа и петрушки, 0,5 стакана сливок или молока, разболтанных с яйцом, столовую ложку теплого масла, соль, перемешать. Нафаршировать картофель, накрыть срезанными верхушками, поместить на лист, смазанный маслом и посыпанный мукой. Посыпать сыром, сбрызнуть маслом, дать постепенно подрумяниться в духовке. Оставшийся фарш смешать с вынутой мякотью картофеля, прибавить яйцо, соль, муку. Скатать шариками, обвалять в муке, обжарить румяно в закипевшем масле. Готовый нафаршированный картофель обложить жареными шариками."
Шелпек,"['мука пшеничная', 'яйца', 'молоко', 'сливки', 'сметана', 'сахар', 'сода', 'соль', 'масло топлёное']",/recipes/recipe.php?rid=57441,"Как приготовить шелпеки Рецепт шелпеков несложен. Из муки, яиц, молока, сахара, соды и соли замесить тесто. Раскатать из теста лепешки и обжарить в большом количестве разогретого жира до золотистого цвета."
Плов   «изобилие»,"['рис', 'мясо мягкое', 'жир свиной', 'морковь', 'лук', 'айва', 'чеснок', 'горох сушеный', 'изюм', 'яйца', 'соль', 'специи']",/recipes/recipe.php?rid=641,"Перекалить жир и обжарить в нем мясо, нарезанное кусками, добавить лук. Все хорошо пережарить. Добавить морковь, нарезанную соломкой, и жарить, часто помешивая. Если вместо мяса взят фарш, его необходимо положить в зирвак перед закипанием. Налить в зирвак воды, вместе со специями положить замоченный горох, изюм и айву, нарезанную ломтиками. Через 30 минут после кипения зирвака, перед закладкой риса, в зирвак положить головки чеснока, предварительно срезав донце, но не счищая шелухи. Сверху засыпать подготовленный рис, посолить и варить до испарения влаги. Перед закрытием плова сверху положить мелко нашинкованный лук, заправленный зирой. В плов можно положить еще вымытые сырые яйца. При подаче на стол снять сверху плова лук, положить в тарелку, яйца очистить от скорлупы, чеснок разделить на дольки, предварительно сняв шелуху. Айву тоже положить в отдельную тарелку. Плов положить горкой на блюдо. Поверх разложить кусочки айвы, яйца, дольками чеснок и подать к столу. В отдельной тарелке подать мелко нарезанный лук с тмином."
Оши-сирканиз,"['рис', 'рис басмати', 'нут', 'морковь', 'чеснок', 'соль', 'специи', 'масло растительное']",/recipes/recipe.php?rid=23431,"Горох замочить не менее, чем на 2 часа и отварить до полуготовности. Взять 1 литровую банку хорошего риса, замочить его на 1-2 часа в тёплой воде. Затем промыть многократно до прозрачной воды и откинуть на дуршлаг, чтобы вода как следует стекла. Морковь очистить, промыть и нарезать кубиками размером 1 см. В хорошо нагретый казан налить растительного масла, прогреть и обжарить на большом огне морковь, постоянно помешивая. Когда морковь будет готова, посыпать ее чайной ложкой зиры, перемешать и засыпать в казан рис. Постоянно перемешивать 4-5 мин. чтобы рис равномерно слегка обжарился. Рис должен стать полупрозрачным и равномерно перемешаться с морковью. Горох, сваренный почти до готовности всыпать в рис. Ещё раз тщательно всё перемешать и залить 1,2 литра кипящей воды. Разровнять рис, убавить огонь до минимума, плотно закрыть крышкой или эмалированной миской и оставить на 40 мин. Очистить небольшую головку чеснока и растолочь со столовой ложкой соли. Взять топленое масло или перетопить сливочное, дать немного остыть чтобы все-таки оставалось горячими смешать с чесночной смесью. Когда рис будет готов, полить его маслом с чесноком, перемешать и подавать на стол."
Самса по-узбекски,"['мука', 'вода', 'соль', 'баранина', 'говядина', 'лук', 'сало курдючное', 'масло топлёное', 'зира', 'перец чёрный молотый', 'соль', 'яйца', 'масло топлёное', 'кунжут']",/recipes/recipe.php?rid=127796,"Как приготовить узбекскую самсуРастворить в воде 1 ч. л. соли. Непрерывно помешивая, добавить муку и хорошо вымесить. Скатать тесто в шар, положить в мешочек и убрать на 20 минут в холодильник. Тем временем режем лук кубиками. Хоть я и не люблю лук, но, чем его больше в самсе, тем вкуснее, Режем мясо кубиками. Смешиваем мясо и лук. Добавляем ЗИРУ, перец черный и соль. Если у вас нет курдючного сала, то возьмите масло топленое, ложки две столовые, и растопите его. Добавьте топленое масло в мясо и перемешайте. Масло должно застыть. Достаем тесто из холодильника. Делим его на 6-8 кусков. Раскатываем тесто очень тонко. Смазываем его топленым маслом. Закатываем в рулет. Следующий кусок так же раскатываем и смазываем, и в него кладем предыдущий рулет. И так с каждым последующим. Так тесто получится слоеным и сочным. Вот получится такой толстый рулет. Убираем в пакет - и в холодильник на 1,5 часа. Спустя время достаем тесто, режем его на 12-16 кусков. Раскатываем каждый кусочек по краям так, чтобы серединка была плотная. И так все 16 кусочков. Раскладываем мясо. Делаем треугольнички, хорошенько зажимаем. На противень кладем лист пергамента, смазываем маслом. На противень с пергаментом выкладываем нашу самсу швами вниз. Смазываем взбитым яйцом, можно просто желтком. Посыпаем кунжутом, ставим самсу по-узбекски в духовку, разогретую до температуры 180 градусов, на минут 30-40. Вынимаем самсу по-узбекски из духовки и накрываем полотенцем на минут 5.Кушать узбекскую самсу в горячем виде, но можно и разогревать в микроволновке."
Плов с фаршированными перепелками,"['рис', 'жир свиной', 'перепелка', 'баранина', 'морковь', 'лук', 'фарш для плова с перепелками']",/recipes/recipe.php?rid=621,"Ошпарить кипятком перепелок и очистить. Затем тщательно промыть холодной водой, обсушить салфеткой. Приготовить фарш из баранины, с добавлением курдючного сала, лука и специй. Зафаршировать перепелок. В сильно разогретом жире пережарить лук, морковь, затем положить перепелок, залить водой и варить на слабом огне. Добавить в зирвак соли и специй. После закладки риса в зирвак, плов продолжать варить обычным способом. Перед подачей на стол осторожно вынуть перепелок из котла, положить в отдельную посуду, а плов перемешать, уложить на блюдо. Поверх плова положить перепелок — на каждую порцию по одной перепелке. К плову можно подать любой салат."
Уй нони – лепешки домашние,"['мука', 'молоко', 'соль', 'дрожжи']",/recipes/recipe.php?rid=86202,"Дрожжи растворить в теплом молоке, внося частями муку в молоко, замесить крутое тесто, хорошенько обмять, скрутить в шар и поставить на теплое место для подъема. Поднявшееся тесто положить на стол, разрезать на куски по 150—200 г и придать форму шариков. Затем из них оформить лепешки толщиной по краям 2 см, по середине 0,5 см. Сделать проколы чекичем чекич — инструмент для прокалывания лепешек. Полуфабрикат накрыть салфеткой и оставить для расстойки. Выпечь лепешки в духовом шкафу. Для этого духовку нагреть примерно до 150 градусов, положить лепешки на предварительно смазанные протвени, плотно закрыть дверку. Выпечь до образования румяной корочки."
Приправа для пельменей,"['молоко кислое', 'лук', 'масло сливочное', 'уксус виноградный', 'перец чёрный']",/recipes/recipe.php?rid=667,"Для приправы 1 стакан кислого молока или пережаренный в масле лук, 50 г масла, 2—3 головки лука, или 1 ст. ложка виноградного, уксуса, или 1 чайная ложка черного перца."
Голубцы для плова из болгарского перца,"['мясо мягкое', 'рис', 'лук', 'перец  болгарский зелёный', 'соль', 'специи']",/recipes/recipe.php?rid=648,"Зафаршировать болгарский перец, положить в зирвак, приготовленный без мяса, прокипятить в нем, вынуть и оставить в закрытой посуде."
"Капуста, тушенная с рисом и грибами","['грибы сушёные', 'рис', 'яйца', 'капуста белокочанная', 'масло сливочное', 'соус красный грибной']",/recipes/recipe.php?rid=787,"Сварить 50 г белых сушеных грибов, процедить, порубить. Отлить 3 стакана грибного бульона для соуса, отделив для него же 2 столовые ложки грибов. Сварить рассыпчато 0,75 стакана риса, посолить, добавить столовую ложку масла, грибы, 2 взбитых яйца, перемешать. Кочан белой капусты порезать небольшими частями, обдать подсоленным кипятком, дать постоять 15 минут. Откинуть на дуршлаг, дать стечь воде. Смазать глубокую сковороду маслом, посыпать сухарями, положить слоями то капусту сбрызгивая ее маслом, то рис с грибами. Закончить капустой. Посыпать сухарями, сбрызнуть маслом, дать постепенно подрумяниться в духовке. Сварить соус грибной со сметаной, подать его отдельно. 0"
Котлеты «Узбекистон» из кур,"['курица', 'масло сливочное', 'орех', 'яйца', 'лук репчатый', 'соль', 'перец', 'зелень']",/recipes/recipe.php?rid=25030,"Зачистить   и   отбить   куриное   филе,   затем   из   оставшегося мяса приготовить фарш следующим образом провернуть через мясорубку мясо, лук, добавить рубленые орехи кешью, соль, перец, сливочное масло и хорошо перемешать. Приготовленный фарш уложить на филе и придать форму котлеты по-киевски. Запанировать в белых сухарях и жарить в кипящем масле. Подать к столу котлету можно с отварным рисом, жареным картофелем и зеленым горошком."
Катлама с пряной луковой начинкой,"['молоко', 'мука', 'разрыхлитель', 'соль', 'сахар', 'лук репчатый красный', 'паприка молотая', 'куркума молотая', 'зира', 'соль', 'сахар', 'масло сливочное', 'яйца']",/recipes/recipe.php?rid=160664,"Подготовьте необходимые продукты.Сливочное масло достаньте из холодильника, чтобы оно размягчилось.Молоко подогрейте до тёплого состояния. В глубокую миску просейте муку, всыпьте разрыхлитель, соль и сахар. Перемешайте сухие ингредиенты. Сделайте в муке углубление и, постепенно вливая тёплое молоко, перемешивайте тесто ложкой от центра к краям. Затем тесто замесите руками. Накройте миску плёнкой и дайте тесту отдохнуть 30 минут. Очищенный лук нарежьте пёрышками или полукольцами. Лук немного помните руками и переложите в миску. Присыпьте лук щепоткой соли и сахара, куркумой, паприкой и зирой. Перемешайте лук с пряностями. Тесто разделите на три равные части. Посыпьте доску мукой и раскатайте поочерёдно части теста в круглые тонкие пласты. Прикройте лепёшки пищевой плёнкой. Тесто, с которым в данный момент не работаете, продолжайте держать под плёнкой.Одну лепёшку раскатайте ещё раз как можно тоньше. Смажьте размягчённым сливочным маслом. На лепёшку равномерно разложите половину подготовленного лука. Тесто по краю оставьте без начинки для шва.Раскатайте вторую лепёшку до размеров первой.Накройте луковую начинку второй лепёшкой. Смажьте маслом. Сверху выложите оставшийся лук, также немного не доходя до края. Накройте лук третьей тонко раскатанной лепёшкой и немного соедините края теста. Смажьте верхнюю лепёшку остатком масла. Сверните лепёшки с начинкой в рулет. А затем рулет сверните в улитку. Оберните её пищевой плёнкой и уберите в холодильник на 30 минут, чтобы сливочное масло остыло. Включите духовку для разогрева до 180-190С.Остывшую улитку сначала аккуратно примните руками на посыпанной мукой доске. Затем раскатайте скалкой. Переложите подготовленную катламу на смазанный маслом или застеленный пергаментом противень. Яйцо в небольшой ёмкости разболтайте вилкой.Смажьте катламу яйцом и отправьте в разогретую до 180-190С духовку на 35-40 минут. Выпекайте катламу до готовности - до красивого румяного верха. Остудите выпечку на решётке. Катлама с пряной луковой начинкой нарезается порционно или разламывается - кому как вкуснее.Приятного аппетита"
Каштаны тушеные,"['каштан', 'масло сливочное', 'сметана']",/recipes/recipe.php?rid=766,"Очистить от кожицы 800 г каштанов, порезать, сварить в подсоленном кипятке, процедить. Поставить тушить в масле. Когда дойдут, прибавить 200 г сметаны, соль. Прогреть, не кипятя."
Долма из целой рыбы,"['рыба', 'масло', 'соль', 'перец белый молотый', 'листья виноградные', 'лимон']",/recipes/recipe.php?rid=23484,Некрупную рыбу мариновать в масле с солью и белым перцем. Перед запеканием внутрь каждой тушки положить дольку лимона и завернуть рыбу в маринованные виноградные листья.
Приправа острая из яблок и томатов,"['яблоко', 'изюм', 'сахар', 'помидоры', 'лук']",/recipes/recipe.php?rid=807,"Сушеные яблоки промыть, залить небольшим количеством воды, варить на слабом огне. Когда яблоки станут мягкими, протереть их через дуршлаг. В полученную массу добавить мелконарубленные изюм и лук. Помидоры ошпарить кипятком, снять с них кожицу. Все продукты сложить в кастрюлю и тушить на огне в течение часа. Для улучшения вкуса можно добавить горчицы, уксуса, имбиря, гвоздики. Подавать к холодному мясу или рыбе."
Тикка из курицы,"['куриные ножки', 'кефир', 'карри', 'чеснок', 'имбирь', 'перец зеленый', 'соус соевый', 'томат-паста']",/recipes/recipe.php?rid=23362,"Куриные ножки надрезать до костей по внутренней стороне, аккуратно вынуть кости, удалить кожу и лишний жир и разрезать мясо на кусочки размером 1,5-2 см. В стакан кефира простокваши, йогурта или любого другого кисломолочного продукта, всыпать 1-2 ложки порошка карри, среднюю по размерам головку чеснока, пропущенную через давилку, двухсантиметровый кусочек свежего натёртого имбиря, очищенный от семян и белых перегородок, мелко нарезанный свежий зелёный стручок острого перца. По желанию можно добавить 1-2 ложки соевого соуса и немного томатной пасты. Все положить в блендер, посолить и измельчить до однородности этого маринада хватит на 1,5-2 кг мяса. Залить курицу маринадом, перемешать поставить мариноваться в прохладное место на 4-8 часов. В казане разогреть 2 ст. ложки растительного масла, положить маринованную курицу вместе с маринадом. Помешивая, жарить 8-10 мин. затем добавить 2-3 ст. ложки воды и держать на слабом огне под крышкой 25 мин. время от времени перемешивая. Как только мясо будет готово, открыть крышку, прибавить огонь и, помешивая, выпарить жидкость 3-4 мин.. Как только курица будет почти сухой, выложить на блюдо. Подавать с салатом из свежих овощей."
